ID,Dirección,Latitud,Longitud,"URL Google Maps"
5017,"Panorama Village, Montgomery County, Texas, 77318, USA",30.38104040,-95.49355260,"https://www.google.com/maps/search/?api=1&query=30.38104040,-95.49355260"
5061,"101 Longview Street, Conroe, TX, 77301, USA",30.31841100,-95.43082800,"https://www.google.com/maps/search/?api=1&query=30.31841100,-95.43082800"
5073,"1001 Grand Central Parkway, Conroe, TX 77304",30.26679070,-95.46147340,"https://www.google.com/maps/search/?api=1&query=30.26679070,-95.46147340"
5110,"10586 TX-75, Willis, TX 77378",30.39381930,-95.47386240,"https://www.google.com/maps/search/?api=1&query=30.39381930,-95.47386240"
5117,"19132 Stewart Creek Rd, Montgomery, TX 77356",30.38725030,-95.67064100,"https://www.google.com/maps/search/?api=1&query=30.38725030,-95.67064100"
5138,"147 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42170740,-95.62492080,"https://www.google.com/maps/search/?api=1&query=30.42170740,-95.62492080"
5155,"139 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42185220,-95.62512760,"https://www.google.com/maps/search/?api=1&query=30.42185220,-95.62512760"
5180,"147 VINE MINT DR MONTGOMERY TX 77316",30.29116910,-95.55506830,"https://www.google.com/maps/search/?api=1&query=30.29116910,-95.55506830"
5194,"78 GREENBRIAR DR, PANORAMA VILLAGE, TEXAS 77304",30.37859640,-95.49471800,"https://www.google.com/maps/search/?api=1&query=30.37859640,-95.49471800"
5202,"13 BROOKHAVEN POINT MONTGOMERY TX 77356",30.39540750,-95.59642540,"https://www.google.com/maps/search/?api=1&query=30.39540750,-95.59642540"
5211,"15 W Shore Dr, Montgomery, TX 77356",30.42270800,-95.64175800,"https://www.google.com/maps/search/?api=1&query=30.42270800,-95.64175800"
5224,"101 LONGVIEW STREET CONROE, TX 77301",30.31471280,-95.42969360,"https://www.google.com/maps/search/?api=1&query=30.31471280,-95.42969360"
5225,"806 W DALLAS CONROE TX, 77305",30.31979770,-95.46468160,"https://www.google.com/maps/search/?api=1&query=30.31979770,-95.46468160"
5235,"110 CAMDEN HILLS DR, MONTGOMERY, TEXAS 77356",30.43427190,-95.63650400,"https://www.google.com/maps/search/?api=1&query=30.43427190,-95.63650400"
5241,"199 I-45, HUNTSVILLE, TX 77340",30.72470940,-95.57418530,"https://www.google.com/maps/search/?api=1&query=30.72470940,-95.57418530"
5242,"1001 GRAND CENTRAL PARKWAY CONROE TEXAS 77304",30.26734460,-95.46446740,"https://www.google.com/maps/search/?api=1&query=30.26734460,-95.46446740"
5257,"139 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42100410,-95.62447420,"https://www.google.com/maps/search/?api=1&query=30.42100410,-95.62447420"
5258,"2252 WILLOW DR. CONROE TX 77304",30.37308530,-95.48130570,"https://www.google.com/maps/search/?api=1&query=30.37308530,-95.48130570"
5259,"139 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42100410,-95.62447420,"https://www.google.com/maps/search/?api=1&query=30.42100410,-95.62447420"
5264,"10586 TX-75, Willis, TX 77378",30.39363230,-95.47408200,"https://www.google.com/maps/search/?api=1&query=30.39363230,-95.47408200"
5270,"105 STEWART CREEK RD",40.82657030,-75.77322520,"https://www.google.com/maps/search/?api=1&query=40.82657030,-75.77322520"
5280,"26 LAKE ESTATES DR. MONTGOMERY, TX. 7735",30.40309640,-95.61487080,"https://www.google.com/maps/search/?api=1&query=30.40309640,-95.61487080"
5299,"7045 TX-75, Huntsville, TX 77340",30.69134260,-95.52625310,"https://www.google.com/maps/search/?api=1&query=30.69134260,-95.52625310"
5306,"147 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42095970,-95.62443550,"https://www.google.com/maps/search/?api=1&query=30.42095970,-95.62443550"
5324,"3517 N Frazier St, Conroe, TX, 77303, USA",30.35704700,-95.47561000,"https://www.google.com/maps/search/?api=1&query=30.35704700,-95.47561000"
5350,"110 Camden Hills Drive, Montgomery, TX, 77356, USA",30.43451300,-95.63794300,"https://www.google.com/maps/search/?api=1&query=30.43451300,-95.63794300"
5366,"19132 Stewart Creek Rd, Montgomery, TX, 77356, USA",30.38717500,-95.67048800,"https://www.google.com/maps/search/?api=1&query=30.38717500,-95.67048800"
5376,"13342 Northshore Drive, Montgomery, TX, 77356, USA",30.40324120,-95.62203120,"https://www.google.com/maps/search/?api=1&query=30.40324120,-95.62203120"
5384,"10586 TX-75, Willis, TX, 77378, USA",30.32042720,-95.42178150,"https://www.google.com/maps/search/?api=1&query=30.32042720,-95.42178150"
5396,"7045 State Hwy 75 S, Huntsville, TX 77340",30.69084400,-95.52680630,"https://www.google.com/maps/search/?api=1&query=30.69084400,-95.52680630"
5427,"1001 Grand Central Parkway, Conroe, TX, 77301, USA",30.32042720,-95.42178150,"https://www.google.com/maps/search/?api=1&query=30.32042720,-95.42178150"
5434,"147 CLUB ISLAND WAY, MONTGOMERY, TEXAS 77356",30.42170740,-95.62492080,"https://www.google.com/maps/search/?api=1&query=30.42170740,-95.62492080"
5436,"10586 TX-75, Willis, TX 77378",30.39363230,-95.47408200,"https://www.google.com/maps/search/?api=1&query=30.39363230,-95.47408200"
